都道府県番号,都道府県名,PCR検査陽性者数,入院者数,入院患者受入確保病床,入院患者受入確保想定病床数,うち重症者数,重症患者受入確保病床数,重症患者受入確保想定病床数,宿泊療養者数,宿泊施設受入可能室数,自宅療養者数,社会福祉施設等療養者数,確認中の人数,更新日,出典,入院患者フェーズ,入院患者病床使用率,入院患者即応病床数,重症者フェーズ,重症患者病床使用率,重症患者即応病床数,宿泊療養フェーズ,宿泊療養施設居室使用率,宿泊療養施設施設居室
25,滋賀県,40,31,113,2000,1,,,9,62,0,0,0,2020-05-07,https://www.mhlw.go.jp/content/10900000/000633754.pdf,,,,,,,,,
26,京都府,99,75,252,400,5,,,21,338,3,0,0,2020-05-07,https://www.mhlw.go.jp/content/10900000/000633754.pdf,,,,,,,,,
27,大阪府,742,466,1112,3000,61,,,165,1565,111,0,0,2020-05-07,https://www.mhlw.go.jp/content/10900000/000633754.pdf,,,,,,,,,
28,兵庫県,210,163,509,509,24,,,47,578,0,0,0,2020-05-07,https://www.mhlw.go.jp/content/10900000/000633754.pdf,,,,,,,,,
29,奈良県,32,29,240,500,1,,,3,108,0,0,0,2020-05-07,https://www.mhlw.go.jp/content/10900000/000633754.pdf,,,,,,,,,
30,和歌山県,17,17,117,124,0,,,0,-,0,0,0,2020-05-07,https://www.mhlw.go.jp/content/10900000/000633754.pdf,,,,,,,,,
31,鳥取県,2,2,322,300,0,,,0,412,0,0,0,2020-05-07,https://www.mhlw.go.jp/content/10900000/000633754.pdf,,,,,,,,,
32,島根県,16,16,253,253,1,,,0,45,0,0,0,2020-05-07,https://www.mhlw.go.jp/content/10900000/000633754.pdf,,,,,,,,,
33,岡山県,8,8,117,300,0,,,0,-,0,0,0,2020-05-07,https://www.mhlw.go.jp/content/10900000/000633754.pdf,,,,,,,,,
34,広島県,102,63,257,270,3,,,8,130,0,31,0,2020-05-07,https://www.mhlw.go.jp/content/10900000/000633754.pdf,,,,,,,,,
35,山口県,6,6,384,384,1,,,0,594,0,0,0,2020-05-07,https://www.mhlw.go.jp/content/10900000/000633754.pdf,,,,,,,,,
36,徳島県,1,1,130,200,0,,,0,208,0,0,0,2020-05-07,https://www.mhlw.go.jp/content/10900000/000633754.pdf,,,,,,,,,
37,香川県,15,15,43,125,0,,,0,101,0,0,0,2020-05-07,https://www.mhlw.go.jp/content/10900000/000633754.pdf,,,,,,,,,
38,愛媛県,9,7,70,200,2,,,2,67,0,0,0,2020-05-07,https://www.mhlw.go.jp/content/10900000/000633754.pdf,,,,,,,,,
39,高知県,10,8,77,200,0,,,2,16,0,0,0,2020-05-07,https://www.mhlw.go.jp/content/10900000/000633754.pdf,,,,,,,,,
40,福岡県,215,125,430,1800,13,,,56,826,26,8,0,2020-05-07,https://www.mhlw.go.jp/content/10900000/000633754.pdf,,,,,,,,,
41,佐賀県,27,21,128,150,3,,,6,230,0,0,0,2020-05-07,https://www.mhlw.go.jp/content/10900000/000633754.pdf,,,,,,,,,
42,長崎県,3,3,102,903,0,,,0,-,0,0,0,2020-05-07,https://www.mhlw.go.jp/content/10900000/000633754.pdf,,,,,,,,,
43,熊本県,28,28,312,312,3,,,0,867,0,0,0,2020-05-07,https://www.mhlw.go.jp/content/10900000/000633754.pdf,,,,,,,,,
44,大分県,13,13,258,300,0,,,0,65,0,0,0,2020-05-07,https://www.mhlw.go.jp/content/10900000/000633754.pdf,,,,,,,,,
45,宮崎県,6,6,106,231,0,,,0,150,0,0,0,2020-05-07,https://www.mhlw.go.jp/content/10900000/000633754.pdf,,,,,,,,,
46,鹿児島県,5,5,253,253,0,,,0,188,0,0,0,2020-05-07,https://www.mhlw.go.jp/content/10900000/000633754.pdf,,,,,,,,,
47,沖縄県,64,60,225,430,5,,,3,262,1,0,0,2020-05-07,https://www.mhlw.go.jp/content/10900000/000633754.pdf,,,,,,,,,
1,北海道,409,284,693,1547,19,100,132,60,930,0,58,7,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf,,,,,,,,,
2,青森県,6,6,126,225,0,29,34,0,30,0,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf,,,,,,,,,
3,岩手県,0,0,93,166,0,28,28,0,-,0,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf,,,,,,,,,
4,宮城県,6,5,388,400,0,57,60,1,200,0,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf,,,,,,,,,
5,秋田県,1,1,105,105,0,55,55,0,16,0,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf,,,,,,,,,
6,山形県,11,11,150,150,2,16,16,0,203,0,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf,,,,,,,,,
7,福島県,28,24,229,800,2,15,20,4,200,0,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf,,,,,,,,,
8,茨城県,47,33,151,600,4,30,50,7,175,7,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf,,,,,,,,,
9,栃木県,19,19,130,250,5,21,31,0,111,0,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf,,,,,,,,,
10,群馬県,58,51,170,280,2,23,50,7,150,0,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf,,,,,,,,,
11,埼玉県,251,172,602,602,9,60,60,39,1055,40,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf,,,,,,,,,
12,千葉県,304,151,807,1700,12,82,300,36,666,93,20,4,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf,,,,,,,,,
13,東京都,1755,1320,3300,4000,52,400,700,117,2865,301,17,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf,,,,,,,,,
14,神奈川県,376,197,1296,2800,34,89,300,51,2323,128,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf,,,,,,,,,
15,新潟県,30,26,411,766,0,112,112,4,50,0,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf,,,,,,,,,
16,富山県,92,64,500,500,2,20,20,8,100,3,17,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf,,,,,,,,,
17,石川県,114,90,233,520,3,30,40,22,170,0,0,2,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf,,,,,,,,,
18,福井県,16,16,165,350,3,17,17,0,115,0,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf,,,,,,,,,
19,山梨県,6,6,80,400,1,13,50,0,21,0,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf,,,,,,,,,
21,岐阜県,16,15,353,458,1,17,118,0,265,1,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf,,,,,,,,,
22,静岡県,12,12,200,200,2,20,20,0,155,0,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf,,,,,,,,,
23,愛知県,85,76,500,1500,4,28,400,9,1300,0,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf,,,,,,,,,
24,三重県,10,10,175,175,0,33,33,0,64,0,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf,,,,,,,,,
25,滋賀県,29,23,184,570,1,50,50,6,62,0,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf,,,,,,,,,
26,京都府,70,55,264,400,1,80,80,15,338,0,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf,,,,,,,,,
27,大阪府,588,386,1137,3000,50,188,300,146,1565,56,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf,,,,,,,,,
28,兵庫県,138,108,515,515,21,71,71,30,578,0,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf,,,,,,,,,
29,奈良県,20,18,240,500,0,18,25,2,108,0,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf,,,,,,,,,
30,和歌山県,12,12,124,160,0,32,32,0,-,0,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf,,,,,,,,,
31,鳥取県,2,2,322,322,0,48,48,0,412,0,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf,,,,,,,,,
32,島根県,10,10,253,253,1,30,46,0,45,0,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf,,,,,,,,,
33,岡山県,4,4,117,300,0,11,57,0,78,0,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf,,,,,,,,,
34,広島県,71,32,266,270,2,35,35,10,130,0,29,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf,,,,,,,,,
35,山口県,4,4,384,384,1,102,102,0,594,0,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf,,,,,,,,,
36,徳島県,0,0,172,200,0,47,49,0,208,0,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf,,,,,,,,,
37,香川県,6,6,43,125,0,9,15,0,101,0,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf,,,,,,,,,
38,愛媛県,6,5,203,203,0,15,43,1,67,0,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf,,,,,,,,,
39,高知県,6,5,77,200,0,16,50,1,16,0,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf,,,,,,,,,
40,福岡県,121,69,430,1800,10,60,300,30,826,16,6,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf,,,,,,,,,
41,佐賀県,19,14,146,214,0,32,47,5,230,0,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf,,,,,,,,,
43,熊本県,15,15,312,312,1,46,46,0,867,0,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf,,,,,,,,,
44,大分県,4,4,258,300,0,35,35,0,65,0,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf,,,,,,,,,
45,宮崎県,5,5,106,231,0,8,8,0,150,0,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf,,,,,,,,,
46,鹿児島県,3,3,253,253,0,48,48,0,188,0,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf,,,,,,,,,
47,沖縄県,27,27,225,430,4,33,37,0,262,0,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf,,,,,,,,,
01,北海道,272,215,693,1547,17,100,132,22,930,6,29,0,2020-05-21,https://www.mhlw.go.jp/content/10900000/000633020.pdf,,,,,,,,,
02,青森県,2,2,126,225,0,29,34,0,30,0,0,0,2020-05-21,https://www.mhlw.go.jp/content/10900000/000633020.pdf,,,,,,,,,
03,岩手県,0,0,93,166,0,28,28,0,85,0,0,0,2020-05-21,https://www.mhlw.go.jp/content/10900000/000633020.pdf,,,,,,,,,
04,宮城県,1,1,388,400,0,57,60,0,200,0,0,0,2020-05-21,https://www.mhlw.go.jp/content/10900000/000633020.pdf,,,,,,,,,
05,秋田県,0,0,105,105,0,55,55,0,16,0,0,0,2020-05-21,https://www.mhlw.go.jp/content/10900000/000633020.pdf,,,,,,,,,
06,山形県,6,6,150,150,2,16,16,0,203,0,0,0,2020-05-21,https://www.mhlw.go.jp/content/10900000/000633020.pdf,,,,,,,,,
07,福島県,13,10,229,800,0,15,20,3,300,0,0,0,2020-05-21,https://www.mhlw.go.jp/content/10900000/000633020.pdf,,,,,,,,,
08,茨城県,27,19,151,1000,3,30,50,0,175,8,0,0,2020-05-21,https://www.mhlw.go.jp/content/10900000/000633020.pdf,,,,,,,,,
09,栃木県,18,17,130,250,5,21,31,0,111,1,0,0,2020-05-21,https://www.mhlw.go.jp/content/10900000/000633020.pdf,,,,,,,,,
10,群馬県,25,24,170,280,1,23,50,1,150,0,0,0,2020-05-21,https://www.mhlw.go.jp/content/10900000/000633020.pdf,,,,,,,,,
11,埼玉県,132,102,602,602,4,60,60,25,1055,5,0,0,2020-05-21,https://www.mhlw.go.jp/content/10900000/000633020.pdf,,,,,,,,,
12,千葉県,122,79,819,1700,10,82,300,14,666,25,4,0,2020-05-21,https://www.mhlw.go.jp/content/10900000/000633020.pdf,,,,,,,,,
13,東京都,891,753,3300,4000,44,400,700,53,2865,83,2,0,2020-05-21,https://www.mhlw.go.jp/content/10900000/000633020.pdf,,,,,,,,,
14,神奈川県,301,163,1346,2800,29,89,300,36,2359,102,0,0,2020-05-21,https://www.mhlw.go.jp/content/10900000/000633020.pdf,,,,,,,,,
15,新潟県,14,12,411,766,0,112,112,2,50,0,0,0,2020-05-21,https://www.mhlw.go.jp/content/10900000/000633020.pdf,,,,,,,,,
16,富山県,36,31,500,500,0,20,20,1,100,2,2,0,2020-05-21,https://www.mhlw.go.jp/content/10900000/000633020.pdf,,,,,,,,,
17,石川県,73,69,233,520,3,30,40,4,340,0,0,0,2020-05-21,https://www.mhlw.go.jp/content/10900000/000633020.pdf,,,,,,,,,
18,福井県,9,8,173,350,1,19,19,1,115,0,0,0,2020-05-21,https://www.mhlw.go.jp/content/10900000/000633020.pdf,,,,,,,,,
19,山梨県,8,7,80,400,1,13,50,1,21,0,0,0,2020-05-21,https://www.mhlw.go.jp/content/10900000/000633020.pdf,,,,,,,,,
20,長野県,16,16,300,300,1,33,33,0,200,0,0,0,2020-05-21,https://www.mhlw.go.jp/content/10900000/000633020.pdf,,,,,,,,,
21,岐阜県,6,6,373,458,1,48,118,0,317,0,0,0,2020-05-21,https://www.mhlw.go.jp/content/10900000/000633020.pdf,,,,,,,,,
22,静岡県,3,3,200,400,1,20,20,0,155,0,0,0,2020-05-21,https://www.mhlw.go.jp/content/10900000/000633020.pdf,,,,,,,,,
23,愛知県,36,31,500,1500,0,28,400,3,1300,2,0,0,2020-05-21,https://www.mhlw.go.jp/content/10900000/000633020.pdf,,,,,,,,,
24,三重県,5,5,175,175,0,33,33,0,64,0,0,0,2020-05-21,https://www.mhlw.go.jp/content/10900000/000633020.pdf,,,,,,,,,
25,滋賀県,19,16,242,570,1,50,50,3,62,0,0,0,2020-05-21,https://www.mhlw.go.jp/content/10900000/000633020.pdf,,,,,,,,,
26,京都府,40,34,264,400,2,80,80,6,338,0,0,0,2020-05-21,https://www.mhlw.go.jp/content/10900000/000633020.pdf,,,,,,,,,
27,大阪府,336,252,1151,3000,35,188,300,70,1565,14,0,0,2020-05-21,https://www.mhlw.go.jp/content/10900000/000633020.pdf,,,,,,,,,
28,兵庫県,60,43,515,515,12,71,71,17,578,0,0,0,2020-05-21,https://www.mhlw.go.jp/content/10900000/000633020.pdf,,,,,,,,,
29,奈良県,8,7,240,500,0,18,25,1,108,0,0,0,2020-05-21,https://www.mhlw.go.jp/content/10900000/000633020.pdf,,,,,,,,,
30,和歌山県,9,9,124,160,0,32,32,0,－,0,0,0,2020-05-21,https://www.mhlw.go.jp/content/10900000/000633020.pdf,,,,,,,,,
31,鳥取県,1,1,322,322,0,48,48,0,640,0,0,0,2020-05-21,https://www.mhlw.go.jp/content/10900000/000633020.pdf,,,,,,,,,
32,島根県,5,5,253,253,1,30,46,0,45,0,0,0,2020-05-21,https://www.mhlw.go.jp/content/10900000/000633020.pdf,,,,,,,,,
33,岡山県,1,1,117,300,0,11,57,0,78,0,0,0,2020-05-21,https://www.mhlw.go.jp/content/10900000/000633020.pdf,,,,,,,,,
34,広島県,26,11,266,270,1,35,35,6,130,0,9,0,2020-05-21,https://www.mhlw.go.jp/content/10900000/000633020.pdf,,,,,,,,,
35,山口県,3,3,384,384,1,102,102,0,594,0,0,0,2020-05-21,https://www.mhlw.go.jp/content/10900000/000633020.pdf,,,,,,,,,
36,徳島県,0,0,172,200,0,47,49,0,208,0,0,0,2020-05-21,https://www.mhlw.go.jp/content/10900000/000633020.pdf,,,,,,,,,
37,香川県,1,1,163,163,0,15,15,0,101,0,0,0,2020-05-21,https://www.mhlw.go.jp/content/10900000/000633020.pdf,,,,,,,,,
38,愛媛県,26,19,203,203,0,15,43,7,67,0,0,0,2020-05-21,https://www.mhlw.go.jp/content/10900000/000633020.pdf,,,,,,,,,
39,高知県,3,3,77,200,0,16,50,0,16,0,0,0,2020-05-21,https://www.mhlw.go.jp/content/10900000/000633020.pdf,,,,,,,,,
40,福岡県,60,40,490,1800,4,60,300,9,826,9,2,0,2020-05-21,https://www.mhlw.go.jp/content/10900000/000633020.pdf,,,,,,,,,
41,佐賀県,14,10,146,232,0,32,47,4,230,0,0,0,2020-05-21,https://www.mhlw.go.jp/content/10900000/000633020.pdf,,,,,,,,,
42,長崎県,0,0,102,903,0,14,29,0,6,0,0,0,2020-05-21,https://www.mhlw.go.jp/content/10900000/000633020.pdf,,,,,,,,,
43,熊本県,10,10,378,400,0,48,48,0,1366,0,0,0,2020-05-21,https://www.mhlw.go.jp/content/10900000/000633020.pdf,,,,,,,,,
